CONF	|P|	max_gen	n_m	n_c	k1(non-cloned_solutions)	k2(cloned_solutions)	|B|	life_span	seed
1	500	10000	0.830000	0.200000	1.300000	4.000000	0.100000	10	1
Instancias 	 L2 	 Bins 	 Gen 	 Time
set3instances/Hard0.txt 	 55 	 56 	 922 	 37.852000
set3instances/Hard1.txt 	 56 	 57 	 421 	 19.451000
set3instances/Hard2.txt 	 56 	 56 	 60 	 2.951000
set3instances/Hard3.txt 	 55 	 55 	 12 	 0.672000
set3instances/Hard4.txt 	 56 	 57 	 590 	 25.787000
set3instances/Hard5.txt 	 55 	 56 	 343 	 15.297000
set3instances/Hard6.txt 	 56 	 57 	 426 	 19.784000
set3instances/Hard7.txt 	 54 	 55 	 487 	 21.181000
set3instances/Hard8.txt 	 56 	 57 	 549 	 25.085000
set3instances/Hard9.txt 	 56 	 56 	 4 	 0.342000
u120instances/u120_00.txt 	 48 	 48 	 1 	 0.029000
u120instances/u120_01.txt 	 49 	 49 	 0 	 0.012000
u120instances/u120_02.txt 	 46 	 46 	 1 	 0.030000
u120instances/u120_03.txt 	 49 	 49 	 2 	 0.051000
u120instances/u120_04.txt 	 50 	 50 	 1 	 0.031000
u120instances/u120_05.txt 	 48 	 48 	 1 	 0.029000
u120instances/u120_06.txt 	 48 	 48 	 1 	 0.033000
u120instances/u120_07.txt 	 49 	 49 	 2 	 0.049000
u120instances/u120_08.txt 	 50 	 50 	 5 	 0.132000
u120instances/u120_09.txt 	 46 	 46 	 2 	 0.047000
u120instances/u120_10.txt 	 52 	 52 	 1 	 0.034000
u120instances/u120_11.txt 	 49 	 49 	 1 	 0.030000
u120instances/u120_12.txt 	 48 	 48 	 3 	 0.071000
u120instances/u120_13.txt 	 49 	 49 	 0 	 0.011000
u120instances/u120_14.txt 	 50 	 50 	 1 	 0.031000
u120instances/u120_15.txt 	 48 	 48 	 1 	 0.031000
u120instances/u120_16.txt 	 52 	 52 	 1 	 0.031000
u120instances/u120_17.txt 	 52 	 52 	 1 	 0.035000
u120instances/u120_18.txt 	 49 	 49 	 0 	 0.016000
u120instances/u120_19.txt 	 49 	 49 	 6 	 0.125000
u250instances/u250_00.txt 	 99 	 99 	 2 	 0.163000
u250instances/u250_01.txt 	 100 	 100 	 0 	 0.057000
u250instances/u250_02.txt 	 102 	 102 	 2 	 0.162000
u250instances/u250_03.txt 	 100 	 100 	 1 	 0.102000
u250instances/u250_04.txt 	 101 	 101 	 1 	 0.105000
u250instances/u250_05.txt 	 101 	 101 	 6 	 0.381000
u250instances/u250_06.txt 	 102 	 102 	 0 	 0.038000
u250instances/u250_07.txt 	 103 	 103 	 15 	 0.816000
u250instances/u250_08.txt 	 105 	 105 	 10 	 0.581000
u250instances/u250_09.txt 	 101 	 101 	 1 	 0.102000
u250instances/u250_10.txt 	 105 	 105 	 1 	 0.114000
u250instances/u250_11.txt 	 101 	 101 	 5 	 0.373000
u250instances/u250_12.txt 	 105 	 105 	 90 	 3.414000
u250instances/u250_13.txt 	 102 	 103 	 10000 	 322.245000
u250instances/u250_14.txt 	 100 	 100 	 1 	 0.124000
u250instances/u250_15.txt 	 105 	 105 	 14 	 0.802000
u250instances/u250_16.txt 	 97 	 97 	 2 	 0.132000
u250instances/u250_17.txt 	 100 	 100 	 1 	 0.089000
u250instances/u250_18.txt 	 100 	 100 	 4 	 0.268000
u250instances/u250_19.txt 	 102 	 102 	 1 	 0.082000
u500instances/u500_00.txt 	 198 	 198 	 5 	 1.072000
u500instances/u500_01.txt 	 201 	 201 	 3 	 0.739000
u500instances/u500_02.txt 	 202 	 202 	 2 	 0.673000
u500instances/u500_03.txt 	 204 	 204 	 7 	 1.454000
u500instances/u500_04.txt 	 206 	 206 	 2 	 0.520000
u500instances/u500_05.txt 	 206 	 206 	 1 	 0.424000
u500instances/u500_06.txt 	 207 	 207 	 13 	 2.740000
u500instances/u500_07.txt 	 204 	 204 	 16 	 2.674000
u500instances/u500_08.txt 	 196 	 196 	 3 	 0.636000
u500instances/u500_09.txt 	 202 	 202 	 1 	 0.366000
u500instances/u500_10.txt 	 200 	 200 	 2 	 0.550000
