CONF	|P|	max_gen	n_m	n_c	k1(non-cloned_solutions)	k2(cloned_solutions)	|B|	life_span	seed
1	500	10000	0.830000	0.200000	1.300000	4.000000	0.100000	10	1
Instancias 	 L2 	 Bins 	 Gen 	 Time
set3instances/Hard0.txt 	 55 	 56 	 539 	 21.898000
set3instances/Hard1.txt 	 56 	 57 	 653 	 29.882000
set3instances/Hard2.txt 	 56 	 56 	 84 	 4.056000
set3instances/Hard3.txt 	 55 	 55 	 14 	 0.699000
set3instances/Hard4.txt 	 56 	 57 	 356 	 15.810000
set3instances/Hard5.txt 	 55 	 56 	 517 	 22.832000
set3instances/Hard6.txt 	 56 	 57 	 842 	 37.001000
set3instances/Hard7.txt 	 54 	 55 	 1128 	 40.713000
set3instances/Hard8.txt 	 56 	 57 	 378 	 17.591000
set3instances/Hard9.txt 	 56 	 56 	 4 	 0.346000
u120instances/u120_00.txt 	 48 	 48 	 0 	 0.013000
u120instances/u120_01.txt 	 49 	 49 	 0 	 0.009000
u120instances/u120_02.txt 	 46 	 46 	 0 	 0.013000
u120instances/u120_03.txt 	 49 	 49 	 0 	 0.014000
u120instances/u120_04.txt 	 50 	 50 	 0 	 0.013000
u120instances/u120_05.txt 	 48 	 48 	 0 	 0.014000
u120instances/u120_06.txt 	 48 	 48 	 0 	 0.014000
u120instances/u120_07.txt 	 49 	 49 	 0 	 0.016000
u120instances/u120_08.txt 	 50 	 50 	 3 	 0.081000
u120instances/u120_09.txt 	 46 	 46 	 1 	 0.050000
u120instances/u120_10.txt 	 52 	 52 	 0 	 0.012000
u120instances/u120_11.txt 	 49 	 49 	 0 	 0.013000
u120instances/u120_12.txt 	 48 	 48 	 1 	 0.034000
u120instances/u120_13.txt 	 49 	 49 	 0 	 0.008000
u120instances/u120_14.txt 	 50 	 50 	 0 	 0.014000
u120instances/u120_15.txt 	 48 	 48 	 0 	 0.012000
u120instances/u120_16.txt 	 52 	 52 	 0 	 0.012000
u120instances/u120_17.txt 	 52 	 52 	 1 	 0.031000
u120instances/u120_18.txt 	 49 	 49 	 0 	 0.013000
u120instances/u120_19.txt 	 49 	 49 	 4 	 0.098000
u250instances/u250_00.txt 	 99 	 99 	 1 	 0.100000
u250instances/u250_01.txt 	 100 	 100 	 0 	 0.033000
u250instances/u250_02.txt 	 102 	 102 	 0 	 0.041000
